,Article_Text,Web_Page_No,Article_URL,Matchd_words,ORG,Money,Other,Dates
0,"Arnall Family Foundation: COVID-19 Child Welfare Rapid Response Fund
Application Deadline:
April 27, 2020
Geographic Scope: Oklahoma
In response to the COVID-19 pandemic, the Arnall Family Foundation will provide individual grants of up to $20,000 to organizations in Oklahoma who serve children, youth, and families impacted by the child welfare and juvenile justice systems. Proposals must fall into one or more of the following areas: programs that support kinship families, through service or resource provision; technology to support children and youth involved in child welfare or juvenile justice systems; and programs that provide informal care options for foster families.
Date Added:
April 22, 2020",1,https://arnallfamilyfoundation.org/covid-19-cw/, fund,Arnall Family Foundation|Child Welfare Rapid Response Fund|the Arnall Family Foundation,"up to $20,000",Oklahoma|Oklahoma|one,"April 27, 2020|April 22, 2020"
1,"Community Foundation of the Gunnison Valley: COVID-19 Recovery Fund
Application Deadline:
April 27, 2020
Geographic Scope: Colorado
Geographic Focus: Gunnison Valley
The Community Foundation of the Gunnison Valley’s COVID-19 Recovery Fund awards grants to those entities addressing the health and safety needs of the most vulnerable populations in Gunnison County (those most disproportionately affected by the virus) and meets unmet and necessary immediate health and safety needs.
Date Added:
April 15, 2020",1,https://cfgv.org/covid-19-fund-application/, fund| fund,Community Foundation|The Community Foundation|Recovery Fund,,Colorado|Gunnison Valley|the Gunnison Valley|Gunnison County,"April 27, 2020|April 15, 2020"
2,"Michelson 20MM Foundation: Spark Grants
Application Deadline:
April 27, 2020, or until funds have expired
Geographic Scope: USA
With the COVID-19 crisis severely impacting the educational space, the Michelson 20MM Foundation is launching a new round of the Spark Grant program to fill urgent needs for education organizations that are well-aligned with the following target outcomes: increasing access to and efficiency of emergency student aid programs; decreasing the “digital divide” through ensuring students, faculty, and nonprofits have access to devices, high-speed internet, technology solutions, and IT support; and accelerating the growth and shift to online and remote education via support for students and faculty. U.S. nonprofit organizations are eligible to apply.
Date Added:
April 24, 2020",1,https://20mm.org/spark-grants/, fund| aid,Michelson 20MM Foundation|Michelson 20MM Foundation|Spark Grant,,U.S.,"April 27, 2020|April 24, 2020"
3,"Fundación Gabo: Solutions Journalism Grants for Latin America
Application Deadline:
April 28, 2020
Geographic Scope: Latin America
Fundación Gabo and Solutions Journalism Network, sponsored by Tinker Foundation, have launched a special edition of the Solutions Journalism Grants for Latin America to promote investigative projects in any format aimed at covering responses to COVID-19. Up to nine scholarships of $800 will be awarded to proposals addressing one of the following topics: science and health, public policies and governance, and community life and social cohesion. Journalists of any nationality who work or contribute with Latin American outlets can apply. (Information is available only in Spanish on the Foundation's website.)
Date Added:
April 21, 2020",1,https://fundaciongabo.org/es/actividad/becas-de-periodismo-de-soluciones-edicion-especial-2020, fund| contribut,Fundación|Fundación|Tinker Foundation|Foundation,800,Latin America|Latin America|Gabo|Latin America|nine|one|Latin American|Spanish,"April 28, 2020|April 21, 2020"
4,"House of Europe
Application Deadline:
Infrastructure Grants - April 28, 2020, Digital Cooperation Grants - May 5, 2020
Geographic Scope: Europe,Ukraine
House of Europe, funded by the European Union, is offering two grant programs related to the COVID-19 crisis. Infrastructure Grants support Ukrainian cultural organizations to buy computers and software to sustain their work, connect with their audiences and organize home offices during the quarantine. Digital Cooperation Grants fund collaborative cultural projects of Ukrainian and European organizations created for the digital space. 
Date Added:
April 22, 2020",1,https://houseofeurope.org.ua/en/grant/covid-19-response, fund| fund,"House of Europe
Application Deadline|House of Europe|the European Union|Digital Cooperation Grants",,Europe|Ukraine|two|Ukrainian|Ukrainian|European,"Grants - April 28, 2020|May 5, 2020|April 22, 2020"
5,"Women's Peace and Humanitarian Fund: COVID-19 Emergency Response Window
Application Deadline:
Round 1 Applications: April 28, 2020
Geographic Scope: Afghanistan,Burundi,Bangladesh,Central African Republic,Colombia,Democratic Republic of the Congo,Haiti,Iraq,Jordan,Liberia,Malawi,Mali,Myanmar (Burma),Nigeria,Pacific Islands,Palestinian Territories,Philippines,Somalia,South Sudan,Sudan,Sri Lanka,Uganda,Ukraine,Yemen
The COVID-19 Emergency Response Window supports local women's civil society organizations that contribute to responding to COVID-19 in crisis settings. Two types of funding are available. Institutional funding supports local civil society organizations working on women, peace and security, and humanitarian issues to ensure they are able to sustain themselves through the crisis. Programmatic funding finances projects which aim specifically to provide gender-responsive response to the COVID19 crisis.
Date Added:
April 15, 2020",1,https://wphfund.org/call-for-proposal-covid19/, fund| contribut| fund| fund| fund,Peace and Humanitarian Fund|Mali|Response Window,,Afghanistan|Burundi|Bangladesh|Central African Republic|Colombia|Democratic Republic of the|Congo|Haiti|Iraq|Jordan|Liberia|Malawi|Myanmar|Pacific Islands|Palestinian Territories|Philippines|Somalia|South Sudan|Sudan|Sri Lanka|Uganda|Ukraine|Yemen|Two,"April 28, 2020|April 15, 2020"
6,"Google News Initiative: Journalism Emergency Relief Fund
Application Deadline:
April 29, 2020
Geographic Scope: Global
Geographic Focus: Visit the Google News Initiative website for a list of eligible countries.
The Journalism Emergency Relief Fund supports small and medium-sized news organizations producing original news for local communities. The Fund’s aim is to support the production of original journalism for local communities in the face of the COVID-19 pandemic.
Date Added:
April 17, 2020",1,https://newsinitiative.withgoogle.com/journalism-emergency-relief-fund/, fund| fund| fund,Google News|the Google News Initiative|The Journalism Emergency Relief Fund|Fund,,,"April 29, 2020|April 17, 2020"
7,"Central Carolina Community Foundation: One SC COVID-19 Response Fund
Application Deadline:
April 30, May 30, and June 30 (tentative)
Geographic Scope: South Carolina
Geographic Focus: Calhoun, Clarendon, Fairfield, Kershaw, Lee, Lexington, Newberry, Orangeburg, Richland, Saluda, and Sumter  
The One SC COVID-19 Response Fund supports nonprofits that are providing direct services in response to the COVID-19 public health emergency. Priority will be given to organizations serving under-resourced counties as well as those working with populations disproportionately impacted by this crisis.
Date Added:
April 15, 2020",1,https://yourfoundation.org/one-sc-fund/, fund| fund,"Central Carolina Community Foundation|Clarendon|Fairfield|Kershaw|Lee|Sumter  
|Response Fund",,One|South Carolina|Lexington|Newberry|Orangeburg|Richland|Saluda|One,"April 30|May 30|June 30|April 15, 2020"
8,"City of Boston: Boston Artist Relief Fund
Application Deadline:
April 30, 2020
Geographic Scope: Massachusetts
Geographic Focus: Boston
The Boston Artist Relief Fund will award grants of $500 and $1000 to individual artists who live in Boston whose creative practices and incomes are being adversely impacted by Coronavirus 2019 (COVID-19).
Date Added:
March 23, 2020",1,https://cityofbostonartsandculture.submittable.com/submit/af2153eb-2d87-4e9d-9ebc-5861eb135999/boston-artist-relief-fund, fund| fund,Boston Artist Relief Fund|The Boston Artist Relief Fund|Coronavirus 2019,500|1000,Boston|Massachusetts|Boston|Boston,"April 30, 2020|March 23, 2020"
9,"City of Newark 2020 Emergency Fund for Small Businesses Impacted by COVID-19
Application Deadline:
April 30, 2020
Geographic Scope: New Jersey
Geographic Focus: Newark
The City of Newark 2020 Emergency Fund for Small Businesses Impacted by COVID-19 aims to help small businesses and microenterprises with losses they have experienced through loss of income, payroll loss, sales, etc. This emergency fund will provide working capital grants in amounts up to $10,000 to qualifying small businesses.
Date Added:
April 23, 2020",1,https://www.surveymonkey.com/r/NewarkSmallBusinessCOVID19Grant, fund| fund| fund,,"up to $10,000",New Jersey|Newark|The City of Newark,"April 30, 2020|April 23, 2020"
10,"Tufts University/Tufts Medical Center: COVID-19 Rapid Response Seed Funding Program
Application Deadline:
April 30, 2020
Geographic Scope: Massachusetts
Geographic Focus: Boston, Grafton, Medford, Somerville
The COVID-19 Rapid Response Seed Funding Program is intended to fast track innovative research proposals that directly address the urgent needs of the COVID-19 pandemic. Priority will be given to work with a high probability of generating new knowledge and/or changing clinical practice (access to treatment and diagnosis). The lead principal investigator on the application must be an employee of Tufts University and/or Tufts Medical Center, but applicants may partner with collaborators at community-based, local nonprofit organizations (preferably in Tufts University’s host communities of Boston, Grafton, Medford or Somerville and/or with Tufts Medical Center’s Wellforce partner hospitals) to develop and/or implement the proposed project.
Date Added:
April 14, 2020",1,https://viceprovost.tufts.edu/news/2020/04/10/call-for-proposals-for-covid-19-rapid-response-seed-funding-program/, fund| fund,Tufts University/Tufts Medical Center|Somerville|Tufts University and/or Tufts Medical Center|Tufts University|Somerville|Tufts Medical Center’s|Wellforce,,Massachusetts|Boston|Grafton|Medford|Boston|Grafton|Medford,"April 30, 2020|April 14, 2020"
