,Article_Text,Web_Page_No,Article_URL,Matchd_words,ORG,Money,Other,Dates
0,"Black Sea Trust for Regional Cooperation: Coronavirus Fast Response Fund
Application Deadline:
none
Geographic Scope: Armenia,Azerbaijan,Georgia,Moldova,Romania,Ukraine
The Coronavirus Fast Response Fund aims to mobilize civic initiatives in the wider Black Sea region meant to help limit the coronavirus crisis and counter its negative impact on society, good governance, democracy, rule of law, and access to free media.
Date Added:
March 30, 2020",2,http://www.gmfus.org/coronavirus-fast-response-fund, fund| fund,Black Sea Trust for Regional Cooperation: Coronavirus Fast Response Fund|The Coronavirus Fast Response Fund,,Armenia|Azerbaijan|Georgia|Moldova|Romania|Ukraine|Black Sea,"March 30, 2020"
1,"Boston Singer’s Relief Fund
Application Deadline:
none
Geographic Scope: USA
Geographic Focus: New England region of the United States
The Boston Singer’s Relief Fund supports New England-based singers whose classical performances were cancelled due to concerns over COVID-19.
Date Added:
March 25, 2020",2,https://www.bostonsingersresource.org/programs/bsrf/application, fund| fund,Boston Singer’s|The Boston Singer’s Relief Fund,,New England|the United States|New England,"March 25, 2020"
2,"Brandywine Health Foundation: Healthcare and Economic Relief Fund
Application Deadline:
none
Geographic Scope: Pennsylvania
Geographic Focus: Greater Coatsville area
The Healthcare and Economic Relief Fund will provide flexible resources to nonprofit organizations in the Greater Coatesville area serving the Coatesville Area School District geographic area including: City of Coatesville, Boroughs of Modena and South Coatesville, and the Townships of Caln, East Fallowfield, Sadsbury, Valley, West Brandywine, and West Caln. The Fund is designed to complement the work of public health, human service, and community economic development initiatives and the continuation or augmentation of services negatively impacted by all aspects of the outbreak as efficiently as possible.
Date Added:
March 24, 2020",2,https://brandywinefoundation.org/apply-for-a-grant-scholarship/, fund| fund| fund,Brandywine Health Foundation|Healthcare and Economic Relief Fund|The Healthcare and Economic Relief Fund|the Coatesville Area School District,,Pennsylvania|Greater Coatsville|Greater Coatesville|Coatesville|South Coatesville|the Townships of Caln|East Fallowfield|Sadsbury|Valley|West Brandywine|West Caln,"March 24, 2020"
3,"Bread & Roses: Solidarity Fund for COVID-19 Organizing
Application Deadline:
none
Geographic Scope: Pennsylvania
Geographic Focus: Philadelphia, Bucks, Chester, Delaware, Montgomery, and Camden counties
The Solidarity Fund for COVID-19 Organizing is providing emergency grants of up to $10,000 to grassroots community organizing groups in the Philadelphia region, including Philadelphia, Bucks, Chester, Delaware, Montgomery, and Camden counties. Priority will be given to new or existing groups that are launching organizing campaigns around issues directly related to the COVID-19 crisis as well as established grassroots community organizing groups that need funding to be able to keep organizing, need resources to organize virtually, and/or need to replace lost revenue due to the COVID-19 crisis.
Date Added:
April 21, 2020",2,https://breadrosesfund.org/solidarityfundapply/, fund| fund| fund,Bread & Roses: Solidarity Fund for COVID-19|Montgomery|The Solidarity Fund|Montgomery,"up to $10,000",Pennsylvania|Philadelphia|Bucks|Chester|Delaware|Camden|Philadelphia|Philadelphia|Bucks|Chester|Delaware|Camden,"April 21, 2020"
4,"Brooklyn Community Foundation: Brooklyn COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: New York
Geographic Focus: Brooklyn
The Brooklyn COVID-19 Response Fund will provide grants of up to $10,000 in the following priority areas: anti-stigma efforts to address anti-Asian harassment and discrimination, prevention measures (education, sanitary supplies) for vulnerable populations, practical needs in case of disruption in services to vulnerable populations, food access and practical supports, and support for workers to address lack of access to healthcare and paid sick leave, lack of proper safety equipment, and the economic impact of lost wages.
Date Added:
March 23, 2020",2,https://www.brooklyncommunityfoundation.org/COVID-19-Grants, fund| fund,Brooklyn Community Foundation|Geographic Focus,"up to $10,000",Brooklyn|New York|Brooklyn|anti-Asian,"March 23, 2020"
5,"Brown County United Way: Emergency Response Fund
Application Deadline:
none
Geographic Scope: Wisconsin
Geographic Focus: Brown County
The Emergency Response Fund provides support to nonprofit organizations to address the impact of the COVID-19 public health crisis on the community, including immediate basic needs, gaps in service, and operational challenges. Preference will be given to the provision of direct services.
Date Added:
April 24, 2020",2,https://www.browncountyunitedway.org/emergencyresponsefund/, fund| fund,The Emergency Response Fund,,Wisconsin,"April 24, 2020"
6,"California Institute for Regenerative Medicine (CIRM)
Application Deadline:
none
Geographic Scope: Global
The CIRM has allocated $5 million in funding for peer-reviewed regenerative medicine and stem cell research that could quickly advance treatments for COVID-19. Support is provided for promising discovery, preclinical, and clinical trial stage projects.
Date Added:
April 3, 2020",2,https://www.cirm.ca.gov/about-cirm/newsroom/press-releases/03272020/stem-cell-agency-board-approves-5-million-emergency, fund,California Institute for Regenerative Medicine,$5 million,,"April 3, 2020"
7,"Cambridge Community Foundation
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: Cambridge
The Cambridge Community Foundation has launched two emergency funds to help families and individuals deal with the impact of COVID-19. The Cambridge COVID-19 Emergency Fund is available to individuals, small businesses, and nonprofits working directly with low-income populations. The Cambridge Artist Relief Fund supports artists and arts and cultural organizations facing a financial crisis.
Date Added:
March 27, 2020",2,http://cambridgecf.org/two-new-funds-launched-in-response-to-covid-19/, fund| fund| fund,Cambridge Community Foundation|The Cambridge Community Foundation|Cambridge|Emergency Fund|The Cambridge Artist Relief Fund,,Massachusetts|Cambridge|two,"March 27, 2020"
8,"Cape Cod and Island Major Crisis Relief Fund
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: Cape Cod and neighboring islands
The Cape Cod and Island Major Crisis Relief Fund is providing support to those organizations hit hard by COVID-19. Grant priorities include lost income, food, and a broad spectrum of related needs.
Date Added:
April 21, 2020",2,https://majorcrisisrelieffund.org/, fund| fund,,,Massachusetts,"April 21, 2020"
9,"Central Alabama Community Foundation: Community COVID-19 United Relief Fund
Application Deadline:
none
Geographic Scope: Alabama
Geographic Focus: The River Region area of Central Alabama and the Wiregrass
The Community COVID-19 United Relief Fund will support nonprofit emergency response and recovery efforts in the River Region area of Central Alabama and the Wiregrass. Grants of up to $2,500 will be awarded to 501(c)3 nonprofit organizations supporting basic needs or health and wellness efforts related to the COVID-19 emergency and its aftermath.
Date Added:
March 24, 2020",2,https://cacfinfo.org/grants/community-covid-19-united-relief-fund/, fund| fund,Central Alabama Community Foundation|United Relief Fund|Community|United Relief Fund|Wiregrass,"up to $2,500",Alabama|The River Region|Central Alabama|River Region|Central Alabama|501(c)3,"March 24, 2020"
